,Name,URL,Phone,Latitude,Longitude,Address,City,State,ZIP,Vertical,Rating,Review Count,Yelp ID,Review1,Review2,Review3,Vertical1,Vertical2,Vertical3,Reviews,polarity,subjectivity,Word1,Word2,Word3,Word4,Word5
10,North Italia,https://www.yelp.com/biz/north-italia-san-diego-4?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16193432301,32.769016,-117.164255,7055 Friars Rd,San Diego,CA,92108,"Italian, Pizza",4.0,480,f3kVEcUape9MxorodNbrkA,"This place was a complete success, awesome service 
The. Food.    Is.   The.  Shiiiit
Love everything on the first swing 
Children ok kids pizza is awesome...","I have had amazing experiences here, however today I had a horrible experience. We picked up lunch for our office to go and when we got to the office and...",Very disappointing to see that the kitchen staff are NOT all wearing face masks and/or gloves during the Covid-19 pandemic. We ordered take out tonight and...,Italian,Pizza,None,this place was a complete success awesome service the food    is   the  shiiiitlove everything on the first swing children ok kids pizza is awesome i have had amazing experiences here however today i had a horrible experience we picked up lunch for our office to go and when we got to the office and very disappointing to see that the kitchen staff are not all wearing face masks andor gloves during the  pandemic we ordered take out tonight and,0.21888888888888888,0.6714814814814816,experience,office,awesome,horrible,face
11,Salvatore's Cucina Italiana,https://www.yelp.com/biz/salvatores-cucina-italiana-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16195441865,32.7127146938641,-117.164887913732,750 Front St,San Diego,CA,92101,Italian,4.5,765,9QifYbaGw27jgDBhXjg1vQ,We came here to celebrates my wife's 29th birthday with 5 other friends. When we arrived the host checked us in and sat us at our table immediately which...,"Excellent reviews on Yelp. The dining experience was disappointing, however. Restaurant was virtually empty at 7:45 on a Friday night. An annoying harpist...","This family owned restaurant is a quiet gem of authentic Italian cuisine.  It has a spacious, elegant, white decorated interior with fine linens and...",Italian,None,None,we came here to celebrates my wifes  birthday with  other friends when we arrived the host checked us in and sat us at our table immediately which excellent reviews on yelp the dining experience was disappointing however restaurant was virtually empty at  on a friday night an annoying harpist this family owned restaurant is a quiet gem of authentic italian cuisine  it has a spacious elegant white decorated interior with fine linens and,0.07196969696969698,0.5507575757575758,restaurant,u,arrived,excellent,authentic
12,Parma Cucina Italiana,https://www.yelp.com/biz/parma-cucina-italiana-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16195430049,32.74779,-117.16078,3850 Fifth Ave,San Diego,CA,92103,"Italian, Seafood, Wine Bars",4.5,744,Nag5Qow4eNisCHhSf4C-Vw,"One of the best Italian restaurants in San Diego. Very authentic, IMO. 

I prefer to sit outside when I go due to the high noise level inside when the place...","This place is incredible. The staff is super friendly and gave great recommendations. I had the risotto of the day and it was incredible. 

The restaurant...","Stopped in with a coworker for dinner recently, and I have to say, you could not have asked for a better experience.  The wait staff and the managers that...",Italian,Seafood,Wine Bars,one of the best italian restaurants in san diego very authentic imo i prefer to sit outside when i go due to the high noise level inside when the place this place is incredible the staff is super friendly and gave great recommendations i had the risotto of the day and it was incredible the restaurant stopped in with a coworker for dinner recently and i have to say you could not have asked for a better experience  the wait staff and the managers that,0.4225641025641026,0.515897435897436,restaurant,staff,place,incredible,authentic
13,Stella Italianfare UTC,https://www.yelp.com/biz/stella-italianfare-utc-san-diego-2?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+18586221202,32.8678471,-117.2062129,8935 Towne Centre Dr,San Diego,CA,92122,"Italian, Pizza",4.5,456,hSoOhMcv6QAlr7zGhza3iQ,"I've been there many times, it became my favorite Italian restaurant in La Jolla. They have the best service and AMAZING food. People are friendly and very...","Eaten here plenty of times over years and have always been satisfied. 

Even take out during this stay at home order their food is still top quality. 

Many...","I have to say that Stella Italianfare's service & quality on take out dis not drop at all.  They are friendly, attentive & provide great value for local...",Italian,Pizza,None,ive been there many times it became my favorite italian restaurant in la jolla they have the best service and amazing food people are friendly and very eaten here plenty of times over years and have always been satisfied even take out during this stay at home order their food is still top quality many i have to say that stella italianfares service  quality on take out dis not drop at all  they are friendly attentive  provide great value for local,0.4464285714285715,0.5464285714285715,service,food,time,quality,friendly
14,Barbusa,https://www.yelp.com/biz/barbusa-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192381917,32.724807,-117.168491,1917 India St,San Diego,CA,92101,"Sicilian, Seafood, Pizza",4.0,2006,0t0AfOKctJebkYb89G1vdg,"**REVIEW BASED ON PRE PANDEMIC EXPERIENCE**

Seriously one of the BEST italian food I have ever had! One of my cousin recommended this place to us. We came...","In the days before the Pandemic and the quarantine that followed, I would love to take myself out to a lovely dinner. Barbusa is my favorite place to go in...",This is the best Italian restaurant I've ever been too. I had dinner here early February. I had no idea you needed a reservation but the accommodated us in...,Sicilian,Seafood,Pizza,review based on pre pandemic experienceseriously one of the best italian food i have ever had one of my cousin recommended this place to us we came in the days before the pandemic and the quarantine that followed i would love to take myself out to a lovely dinner barbusa is my favorite place to go in this is the best italian restaurant ive ever been too i had dinner here early february i had no idea you needed a reservation but the accommodated us in,0.45,0.40624999999999994,best,place,pandemic,italian,u
15,Volare,https://www.yelp.com/biz/volare-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192240030,32.745511,-117.198242,3528 Barnett Ave,San Diego,CA,92110,Italian,4.0,651,tAC_kv3MRcWW0CGfbJlXzA,Um. I dont know HOW others can rate this place under 4 stars!! This place is AMAZING!!!! Small mom & pop! I've dined here once and take out (postmates) like...,"I love Volare!  The service, food, and price are excellent.   We have been getting take out during the quarantine, and their process is safe and efficient....",The previous yelp pictures and reviews don't do this place justice. I came here with a group of 10 for a birthday and being a San Diego native I had driven...,Italian,None,None,um i dont know how others can rate this place under  stars this place is amazing small mom  pop ive dined here once and take out postmates like i love volare  the service food and price are excellent   we have been getting take out during the quarantine and their process is safe and efficient the previous yelp pictures and reviews dont do this place justice i came here with a group of  for a birthday and being a san diego native i had driven,0.36388888888888893,0.5944444444444444,place,dont,service,food,justice
16,RustiCucina,https://www.yelp.com/biz/rusticucina-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16193105291,32.7475101772652,-117.146128785002,3797 Park Blvd,San Diego,CA,92103,"Wine Bars, Sicilian",4.5,75,b2fKPm04CBTeCm_UaoHrBQ,"$       $          $           $$$$$   $$$$$    $       $
$       $        $  $         $       $  $       $      $ $      
$$$$$       $ $ $         $$$$...","This was one of my first experiences from this restaurant. 
To start off I must say ""DO NOT"" order the Calamari! It was dried out and the red sauce it came...","*Disclosure: take out only due to COVID-19*

Pros:
- ambiance is definitely par with the vibe of your northpark/South Park etc area
- rustic design is very...",Wine Bars,Sicilian,None,                                                                                                                    this was one of my first experiences from this restaurant to start off i must say do not order the calamari it was dried out and the red sauce it came disclosure take out only due to pros ambiance is definitely par with the vibe of your northparksouth park etc area rustic design is very,0.017857142857142856,0.4440476190476191,came,area,rustic,pro,park
17,Giovanni's Italian Restaurant,https://www.yelp.com/biz/giovannis-italian-restaurant-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192933333,32.7663178201803,-117.195645640179,5277 Linda Vista Rd,San Diego,CA,92110,"Italian, Pizza",4.5,176,7_irk3INOSCw1JojQdCN9g,"This place is a hidden gem! Great service, great food, great taste! Their portions are absolutely great, shareable! 

Definitely coming back!",Really nice restaurant...walked in at 8:45 immediately seated..the restaurant ambiance was nice and relaxing. A nice blonde gal was our server and she was...,"Just  boring. 
I wasn't excited by the food. Lack of taste or wow what so ever...so why come back ?.
I can find better some where else.(easily)...
Sorry...",Italian,Pizza,None,this place is a hidden gem great service great food great taste their portions are absolutely great shareable definitely coming back really nice restaurantwalked in at  immediately seatedthe restaurant ambiance was nice and relaxing a nice blonde gal was our server and she was just  boring i wasnt excited by the food lack of taste or wow what so everso why come back i can find better some where elseeasilysorry,0.3005208333333333,0.6302083333333333,great,nice,taste,food,boring
18,Siamo Napoli,https://www.yelp.com/biz/siamo-napoli-san-diego-2?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16193106981,32.749772,-117.129955,3959 30th St,San Diego,CA,92104,"Italian, Pizza, Cocktail Bars",4.5,324,i8pk_jUS5jV1kMnQEdAVbg,"My new favorite Italian restaurant in all of San Diego!!!

I'm a San Diego native but I lived in Italy for 6 whole years and during that time I developed a...","Excellent service. 

Horrid Caesar salad, with bitter greens. 

Lack luster margarita pizza-no flavor, didn't even ask for a box to bring the rest, which...",This was a planned outing where we took advantage of a Hot and New suggestion. First Impression: It was Loud. Don't come expecting a cozy romantic dinner...,Italian,Pizza,Cocktail Bars,my new favorite italian restaurant in all of san diegoim a san diego native but i lived in italy for  whole years and during that time i developed a excellent service horrid caesar salad with bitter greens lack luster margarita pizzano flavor didnt even ask for a box to bring the rest which this was a planned outing where we took advantage of a hot and new suggestion first impression it was loud dont come expecting a cozy romantic dinner,0.1825174825174825,0.5648018648018647,san,new,horrid,bitter,dont
19,Cesarina,https://www.yelp.com/biz/cesarina-san-diego-3?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192266222,32.74319,-117.23453,4161 Voltaire St,San Diego,CA,92107,"Italian, Breakfast & Brunch, Wine Bars",5.0,413,ruZ45_rMndqb7aLEr6VSOw,"All I can say is wow! 

During this stay at home mandate, they're offering a romantic dinner for two for $39 that includes a foccacia, salad, two pastas,...","Best Italian  food in San Diego. Hands down. Not even close. I used to live in Little Italy, went to all of those places many many times. Cesarina puts them...",I ordered for a special birthday delivery and Cesarina came through in a splendid way. Thank you for the tiramisu surprise and the wonderful food....,Italian,Breakfast & Brunch,Wine Bars,all i can say is wow during this stay at home mandate theyre offering a romantic dinner for two for  that includes a foccacia salad two pastas best italian  food in san diego hands down not even close i used to live in little italy went to all of those places many many times cesarina puts them i ordered for a special birthday delivery and cesarina came through in a splendid way thank you for the tiramisu surprise and the wonderful food,0.34031535594035595,0.555026455026455,cesarina,food,came,best,splendid
20,Arrivederci Ristorante,https://www.yelp.com/biz/arrivederci-ristorante-san-diego-2?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192996282,32.747806,-117.16143,3845 4th Ave,San Diego,CA,92103,Italian,4.0,1375,UPqvlPxU_8lVrBGvqyzj9Q,"Food coma! Amazing Italian restaurant. So stuffed, but I finished all my food . You start off dinner with fresh basket of bread with their special spicy...","How do you say good bye to superbly made Italian food? 
You don't!   Ciao! Arrivederci Ristorante! 
Every bite is delectable, even on a full stomach.  And...",This place has BOMB pasta and HUGE portions!!! I called in on a Friday night and was able to put my name in over the phone for 5 people which was really...,Italian,None,None,food coma amazing italian restaurant so stuffed but i finished all my food  you start off dinner with fresh basket of bread with their special spicy how do you say good bye to superbly made italian food you dont   ciao arrivederci ristorante every bite is delectable even on a full stomach  and this place has bomb pasta and huge portions i called in on a friday night and was able to put my name in over the phone for  people which was really,0.3589285714285715,0.48720238095238094,food,italian,special,phone,finished
21,Alexander's North Park,https://www.yelp.com/biz/alexanders-north-park-san-diego-2?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192812539,32.740985,-117.129182,3391 30th St,San Diego,CA,92104,"Italian, Pizza",4.0,1216,qmqObLeWQX5UHXneaFJJhw,"The most kind and delicious neighborhood Italian restaurant. Got takeout after a long hospital shift (or ""curb side"" per new covid 19 restrictions) and...","Nice menu Ill have to come back to try some other items. Ive heard good things about the pizza.
In this case we went with pastas. I ordered the linguini de...",Well that was the worst restaurant experience we've had in years. My wife and I have a young child and we cherish the the not-frequent-enough opportunities...,Italian,Pizza,None,the most kind and delicious neighborhood italian restaurant got takeout after a long hospital shift or curb side per new covid  restrictions and nice menu ill have to come back to try some other items ive heard good things about the pizzain this case we went with pastas i ordered the linguini de well that was the worst restaurant experience weve had in years my wife and i have a young child and we cherish the the notfrequentenough opportunities,0.15087412587412588,0.5868881118881119,restaurant,heard,delicious,wife,worst
22,Mona Lisa Italian Foods,https://www.yelp.com/biz/mona-lisa-italian-foods-san-diego-2?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+16192344893,32.72622,-117.16905,2061 India St,San Diego,CA,92101,"Grocery, Italian, Delis",4.0,1432,Son5jeUp6tspnGd9qU41PQ,We ordered lunch for pick up and it was quite a treat! The taste of the pizza was delicious! The torpedo sandwich was insane! The flavors were rich and...,"My review is fir the deli, and not the restaurant. I am yet to have a sit down meal there but when I do I'll add comments to my review.

I've been going to...",I ordered a caprese Sandoval after years long recommendation from a meat supplier friend. Was wondering how this small shop would do under the covids. Did...,Grocery,Italian,Delis,we ordered lunch for pick up and it was quite a treat the taste of the pizza was delicious the torpedo sandwich was insane the flavors were rich and my review is fir the deli and not the restaurant i am yet to have a sit down meal there but when i do ill add comments to my reviewive been going to i ordered a caprese sandoval after years long recommendation from a meat supplier friend was wondering how this small shop would do under the covids did,-0.08293650793650793,0.6912698412698414,ordered,going,sandwich,lunch,deli
23,Pastalini,https://www.yelp.com/biz/pastalini-san-diego?adjust_creative=2ZRU-g9WGETJ5K3NcSnhrQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2ZRU-g9WGETJ5K3NcSnhrQ,+18586959779,32.88149,-117.15846,7190 Miramar Rd,San Diego,CA,92121,"Pizza, Italian, Pasta Shops",4.0,425,2ju24aTVh_KBf2iX_mgqhg,"We were craving pasta and had heard good things about Pastalini - it most definitely did not disappoint! We got takeout and the food was super fresh, warm...","I don't know too many places where you can build your own pasta, this is a great place right of Mirimar road. It's an $8ish deal to order a regular size...",Been wanting to visit this place for awhile now and I was happy to have a +1 to enjoy it with on a random weekend. We Came in for a late lunch which became...,Pizza,Italian,Pasta Shops,we were craving pasta and had heard good things about pastalini  it most definitely did not disappoint we got takeout and the food was super fresh warm i dont know too many places where you can build your own pasta this is a great place right of mirimar road its an  deal to order a regular size been wanting to visit this place for awhile now and i was happy to have a  to enjoy it with on a random weekend we came in for a late lunch which became,0.3346031746031746,0.5886202686202685,place,pasta,deal,thing,did
