,variant_id,beta,effect_allele_frequency
171,rs4948088,1.3,0.95
172,rs10509540,1.33,0.71
173,rs4763879,1.09,0.37
174,rs4900384,1.09,0.29
175,rs7202877,1.28,0.1
176,rs2281808,1.11,0.64
177,rs5753037,1.1,0.39
178,rs2269241,1.1,0.19
179,rs1534422,1.08,0.46
184,rs2290400,1.15,0.5
186,rs7804356,1.14,0.76
187,rs16956936,1.09,0.86
188,rs425105,1.16,0.84
189,rs7221109,1.05,0.65
190,rs2664170,1.16,0.32
191,rs12444268,1.1,0.3
197,rs10517086,1.09,0.3
198,rs7020673,1.14,0.5
199,rs1465788,1.16,0.71
200,rs4788084,1.09,0.42
201,rs1701704,1.25,0.35
202,rs11755527,1.13,0.47
203,rs947474,1.1,0.19
204,rs3825932,1.16,0.68
205,rs229541,1.11,0.43
206,rs416603,1.06,0.44
213,rs2165738,1.07,0.27
247,rs478222,1.22,0.59
248,rs539514,1.43,0.5
249,rs924043,1.35,0.85
250,rs550448,1.32,0.86
251,rs12679857,1.2,0.69
252,rs6547853,1.19,0.6
256,rs11725853,0.11,0.15
257,rs2410601,0.08,0.47
258,rs2085277,0.046,0.039
259,rs3842727,1.9841269,0.716
260,rs73043122,3.3510000000000004,0.013000000000000001
261,rs113306148,3.0669999999999997,0.013000000000000001
262,rs10831551,2.219,0.048
263,rs428595,3.424,0.011000000000000001
264,rs6679677,1.46,0.114
265,rs3184504,1.35,0.462
266,rs428595,2.47,0.011000000000000001
267,rs6679677,1.5919999999999999,0.114
268,rs3842727,1.6638935000000001,0.716
269,rs11705721,1.41,0.321
270,rs28600853,3.233,0.011000000000000001
271,rs3842727,1.7513134,0.716
272,rs9934817,2.6630000000000003,0.019
285,rs705705,1.25,0.34
286,rs6691977,1.13,0.19
287,rs3024505,1.1627907,0.84
288,rs13415583,1.1111111999999999,0.65
289,rs4849135,1.1235955,0.71
290,rs72727394,1.15,0.19
291,rs34593439,1.2820513999999998,0.9
292,rs151234,1.19,0.12
293,rs12927355,1.2195122,0.68
294,rs193778,1.14,0.25
295,rs8056814,1.32,0.07
296,rs12453507,1.1111111999999999,0.51
297,rs757411,1.1111111999999999,0.64
298,rs1052553,1.1235955,0.76
299,rs1893217,1.21,0.16
300,rs12971201,1.1235955,0.61
301,rs1615504,1.13,0.47
302,rs34536443,1.4925373,0.96
303,rs12720356,1.2195122,0.91
304,rs402072,1.1494253,0.84
305,rs516246,1.1494253,0.51
306,rs6043409,1.1363636000000001,0.65
307,rs11203202,1.16,0.33
308,rs6518350,1.1363636000000001,0.82
309,rs4820830,1.14,0.38
310,rs2476601,1.89,0.09
311,rs653178,1.3,0.48
312,rs9585056,1.12,0.24
313,rs1456988,1.12,0.27
314,rs56994090,1.1363636000000001,0.59
315,rs2111485,1.1764705,0.61
316,rs35667974,1.6949153000000001,0.98
317,rs72871627,1.6393441999999998,0.99
318,rs3087243,1.1904762,0.55
319,rs113010081,1.1764705,0.89
320,rs75793288,1.15,0.36
321,rs2611215,1.18,0.15
322,rs11954020,1.11,0.39
323,rs72928038,1.2,0.17
324,rs1538171,1.12,0.45
325,rs62447205,1.1235955,0.72
326,rs10277986,1.3157895,0.96
327,rs6476839,1.12,0.4
328,rs61839660,1.6129031,0.9
329,rs10795791,1.16,0.41
330,rs41295121,2.0408163,0.99
331,rs12416116,1.1764705,0.72
332,rs689,2.3809524,0.7
333,rs72853903,1.1764705,0.62
334,rs917911,1.1,0.36
335,rs229533,1.11,0.43
336,rs559047,0.28,0.24
337,rs61211515,0.39,0.16
352,rs926169,1.28,0.36
353,rs9273363,5.48,0.13
354,rs1578060,1.42,0.13
355,rs10788599,1.4492753999999999,0.83
356,rs3842727,1.53,0.26
357,rs56380902,1.35,0.44
358,rs17206992,2.32,0.057
359,rs113517532,1.75,0.106
360,rs73018809,3.5,0.024
361,rs28641753,2.1,0.071
362,rs78031527,1.7,0.201
363,rs143537377,1.88,0.096
364,rs115829748,3.16,0.04
365,rs9354144,1.71,0.105
366,rs571622299,4.12,0.015
367,rs143723948,1.65,0.499
368,rs117826205,2.72,0.026000000000000002
369,rs61879614,2.94,0.048
370,rs34319244,1.51,0.44
371,rs113114656,2.67,0.04
372,rs67213764,1.48,0.261
373,rs12482425,1.5151515,0.6859999999999999
374,rs373009901,3.94,0.019
375,rs138760780,3.48,0.018000000000000002
376,rs12344245,2.52,0.035
377,rs12344245,1.85,0.035
378,rs138760780,2.6,0.018000000000000002
379,rs1326934,1.19,0.57
380,rs55703767,1.2658228,0.794
381,rs191449639,32.42,0.005
382,rs55703767,1.2820513999999998,0.794
383,rs113554206,4.6,0.012
384,rs115061173,9.4,0.013999999999999999
385,rs551191707,1.7,0.122
386,rs142823282,6.73,0.011000000000000001
387,rs145681168,5.53,0.013999999999999999
388,rs118124843,3.79,0.011000000000000001
389,rs61983410,1.2658228,0.787
390,rs144434404,6.78,0.011000000000000001
391,rs77273076,9.16,0.008
392,rs183937294,17.22,0.006999999999999999
393,rs12615970,1.3157895,0.867
394,rs185299109,20.75,0.006999999999999999
395,rs149641852,9.01,0.012
396,rs55703767,1.2987013,0.794
397,rs55703767,1.2048193,0.794
398,rs4972593,1.81,0.14
400,rs4320356,1.26,0.28
401,rs3802604,1.24,0.38
402,rs1770,4.28,0.46
403,rs705699,1.46,0.26
405,rs59825600,0.0751,0.0905
406,rs6688849,0.0485,0.8195
407,rs780093,0.0485,0.373
408,rs6706313,0.0408,0.7416
409,rs17137004,0.0364,0.6176
410,rs74375025,0.1064,0.1071
411,rs4258701,0.0385,0.3272
412,rs149131600,0.0501,0.1614
413,rs116216059,8.73,0.016
414,rs4712523,1.27,0.41
415,rs2383208,1.34,0.55
416,rs2237892,1.33,0.59
417,rs13266634,1.22,0.57
418,rs1111875,1.21,0.28
419,rs7903146,1.54,0.04
420,rs4402960,1.14,0.31
421,rs3792615,1.93,0.95
422,rs12027542,1.41,0.61
423,rs10460009,1.35,0.6
424,rs9295474,1.16,0.36
425,rs11677370,1.35,0.4
426,rs7119,1.24,0.19
427,rs2833610,1.17,0.57
428,rs6583826,1.18,0.26
429,rs7630877,1.32,0.17
430,rs17045328,1.38,0.3
431,rs1048886,1.54,0.18
432,rs642858,1.35,0.4
433,rs7636,1.85,0.06
434,rs10741243,1.75,0.93
435,rs2063640,1.23,0.17
436,rs472265,1.39,0.22
437,rs3773506,1.81,0.06
438,rs7903146,1.33,0.3
441,rs17584499,1.57,0.06
442,rs2237895,1.29,0.33
443,rs391300,1.28,0.62
448,rs163182,1.28,0.34
449,rs1436953,1.14,0.64
470,rs164368,1.12,0.785
471,rs7493,1.06,0.177
472,rs4526895,1.38,0.414
473,rs194045,2.13,0.888
474,rs8093481,1.79,0.6559999999999999
475,rs1133146,1.52,0.956
476,rs871913,1.86,0.045
477,rs1932064,1.62,0.7
478,rs12036718,1.68,0.10300000000000001
479,rs7565310,1.53,0.38
480,rs7694118,1.3,0.6629999999999999
489,rs7330796,4.43,0.22
490,rs870992,2.79,0.23
491,rs16993330,3.52,0.16
492,rs7903146,1.66,0.38
493,rs6598475,1.56,0.36
496,rs163177,1.21,0.43
497,rs6134031,9.66,0.23
498,rs2296173,0.065,0.21201057561284697
499,rs12088739,0.0884,0.089848136244033
500,rs1127655,0.0438,0.470936253793588
501,rs2493394,0.073,0.107337868211843
502,rs340874,0.0626,0.43609575454678007
503,rs2820426,0.0521,0.38994248438599793
504,rs348330,0.0487,0.366548876273864
505,rs2867125,0.0601,0.172175281510457
506,rs1801214,0.0903,0.40041537341636096
507,rs17086692,0.0467,0.31342586146887397
508,rs993380,0.0507,0.334449877168873
509,rs12617659,0.0685,0.147238129122417
510,rs7572970,0.059000000000000004,0.27795337158592404
511,rs11098676,0.054000000000000006,0.21236086451699696
512,rs7561798,0.04,0.482171024837791
513,rs1899951,0.1118,0.123288181623979
514,rs1496653,0.0769,0.204781842750379
515,rs11926707,0.0463,0.374443928283118
516,rs2292662,0.0629,0.15127196350090696
517,rs6795735,0.0558,0.410911492715474
518,rs11708067,0.0965,0.23898965849069398
519,rs459193,0.0711,0.254662376595439
520,rs3900856,0.1136,0.0392350361553793
521,rs2307111,0.0407,0.397269770420072
522,rs6878122,0.0564,0.318208634557753
523,rs7729395,0.1373,0.0509409339093332
524,rs10077431,0.0487,0.21466813045379798
525,rs1050226,0.0491,0.40679230058587895
526,rs7756992,0.1297,0.266895680827625
527,rs2857605,0.0672,0.21061104132454
528,rs1063355,0.0709,0.3975636576360279
529,rs2071479,0.1473,0.0273617407137154
530,rs72892910,0.0648,0.172394287519017
531,rs2246012,0.0527,0.164823310878823
532,rs622217,0.0485,0.48393155409288396
533,rs17168486,0.0742,0.17360311606241902
534,rs2191348,0.0652,0.45306459897734
535,rs849135,0.0999,0.500947820257996
536,rs2908282,0.0552,0.17739480296481897
537,rs2299383,0.0412,0.42345522175593897
538,rs13239186,0.0539,0.302028595537338
539,rs13234269,0.0583,0.492515171023194
540,rs7786095,0.0743,0.10385986093789899
541,rs7841082,0.042,0.43827598062898504
542,rs11774915,0.0495,0.337128968995153
543,rs10100265,0.0491,0.38951013187990097
544,rs17411031,0.045,0.261729325660064
545,rs10087241,0.0475,0.405106648266454
546,rs12681990,0.0634,0.16372964194064998
547,rs516946,0.0824,0.23936670103039
548,rs7845219,0.0422,0.49278585092858
549,rs3802177,0.1217,0.311281439217812
550,rs2294120,0.0443,0.45587929975926794
551,rs10974438,0.0591,0.35121524051548103
552,rs1063192,0.0634,0.44031556139492206
553,rs10811661,0.1569,0.17360539600119798
554,rs1758632,0.0491,0.376593206821159
555,rs17791483,0.102,0.062588322668909
556,rs2796441,0.0715,0.416458049639807
557,rs10114341,0.0409,0.4407541407056961
558,rs687621,0.0433,0.324802051593313
559,rs11257655,0.0737,0.20677328077299104
560,rs2616132,0.0455,0.47425734292945504
561,rs2633310,0.0443,0.435073424137569
562,rs753270,0.0528,0.41646539734401894
563,rs7923866,0.0972,0.378774900654434
564,rs11591741,0.0475,0.440386558895344
565,rs7903146,0.3059,0.29158451249486306
566,rs4918796,0.0623,0.222568957792386
567,rs2421016,0.0458,0.47376147291859
568,rs2237892,0.096,0.0624895946466012
569,rs5215,0.0678,0.36005877807013104
570,rs7929543,0.0828,0.0831598873051136
571,rs1552224,0.1034,0.15421045285969
572,rs10830963,0.0909,0.275768063801753
573,rs7931302,0.0461,0.276869908846429
574,rs67232546,0.0596,0.20922179282714
575,rs12299509,0.0467,0.478621745294057
576,rs11048456,0.0488,0.24382087078943698
577,rs10842994,0.0755,0.19702539489845203
578,rs4472028,0.0453,0.444249850706694
579,rs11925227,0.0534,0.183438659087805
580,rs7651090,0.1204,0.31337682505666603
581,rs3887925,0.0474,0.446828440266774
582,rs6808574,0.0552,0.39037375085173803
583,rs780094,0.0692,0.38715470062653295
584,rs17334919,0.1398,0.10021790858858601
585,rs243019,0.0566,0.45583071709586503
586,rs1009358,0.0545,0.37727811177791604
587,rs10169613,0.0429,0.47213395867646796
588,rs7674212,0.0465,0.408864361771549
589,rs13389219,0.0722,0.39436793771449496
590,rs2972144,0.0913,0.354633108192389
591,rs7685296,0.0511,0.27936461197484197
592,rs735949,0.0711,0.141149742372597
593,rs1061813,0.0429,0.46288080165568607
594,rs4865796,0.053,0.306909895697633
595,rs9844972,0.0956,0.0697229176154775
596,rs9369425,0.0546,0.291815284019485
597,rs853974,0.0601,0.26241384700306
598,rs2261181,0.0985,0.09647003299250201
599,rs1480474,0.0411,0.415993965607979
600,rs7138300,0.0443,0.44316503609742997
601,rs11107116,0.0467,0.219714310921347
602,rs61953351,0.07,0.249902347563897
603,rs940904,0.0499,0.256626736793244
604,rs825476,0.0524,0.41945071095672
605,rs576674,0.0654,0.167485416105361
606,rs963740,0.0479,0.294299268188761
607,rs1359790,0.0796,0.286699863937315
608,rs7144011,0.0482,0.221063370925376
609,rs4502156,0.0411,0.43585704548067294
610,rs982077,0.0453,0.434479031724371
611,rs7177055,0.0647,0.28171133230900997
612,rs4932143,0.0568,0.27905586673087
613,rs12910825,0.0517,0.36039080867218704
614,rs9940149,0.057999999999999996,0.17855594571223002
615,rs7185735,0.1056,0.39730606226021103
616,rs244415,0.0467,0.41287243112973704
617,rs77258096,0.1171,0.101383461593617
618,rs2925979,0.0534,0.299149855500384
619,rs8068804,0.0587,0.325096537247602
620,rs12945601,0.048,0.386396556423368
621,rs11651755,0.0741,0.48466925400126504
622,rs17405722,0.087,0.0741526485278786
623,rs9911983,0.0397,0.43342685104132206
624,rs9894220,0.0585,0.43373999266008506
625,rs302864,0.071,0.0870256600908061
626,rs17631783,0.0487,0.263459811367037
627,rs7240767,0.0451,0.38367747672720204
628,rs12970134,0.0555,0.265120385616101
629,rs10401969,0.0921,0.0765857554285534
630,rs8108269,0.0644,0.28101534637507103
631,rs6515236,0.0504,0.249330468323155
632,rs6059662,0.0446,0.336824454484242
633,rs4810426,0.0726,0.096788799683677
634,rs6066138,0.049,0.278361954233567
635,rs16988333,0.0745,0.09040354926268
636,rs4823182,0.0482,0.33574764315569
637,rs527320094,2.77,0.00022999999999999998
638,rs184847416,3.54,0.00011999999999999999
639,rs146886108,1.4084507,0.9928600000000001
640,rs78408340,1.34,0.0096
641,rs551513405,3.05,0.00016
642,rs79768058,2.87,0.0002
643,rs117229942,1.4285715,0.99182
644,rs576083050,2.34,0.00035
645,rs559651557,2.67,0.00022999999999999998
646,rs79890196,2.6,0.00026000000000000003
647,rs551640889,3.61,0.00011999999999999999
733,rs4077468,1.39,0.58
751,rs7766070,1.38,0.29
752,rs1873747,1.41,0.13
753,rs34872471,1.32,0.4
754,rs275856,1.51,0.11
755,rs73954691,2.6,0.98
756,rs35209784,3.57,0.01
789,rs34872471,1.31,0.28
790,rs11927381,1.14,0.325
791,rs849134,1.12,0.531
792,rs13266634,1.12,0.695
793,rs7766070,1.12,0.27399999999999997
794,rs10811661,1.14,0.815
795,rs9273401,1.16,0.11199999999999999
796,rs3768321,1.13,0.185
797,rs6857,1.12,0.8440000000000001
798,rs9687833,1.12,0.2
799,rs1058018,1.09,0.57
814,rs75444904,0.777,0.275
815,rs75444904,0.5670000000000001,0.307
816,rs994965583,6.252000000000001,0.2979
817,rs1914711,6.824,0.484
818,rs11635657,6.077000000000001,0.3226
819,rs2838820,4.723,0.4628
820,rs199639153,8.264462,0.8065
821,rs3864095,5.72,0.2979
822,rs1631619,5.0,0.3804
823,rs11095909,4.909,0.4255
824,rs59457600,4.838,0.3883
825,rs29582,4.831,0.3989
826,rs10823559,4.63,0.4255
827,rs11034036,4.739336499999999,0.6223
828,rs904372,4.830918,0.6117
829,rs77989445,17.692,0.1436
830,rs1670754,7.697,0.2394
831,rs7213402,7.167000000000001,0.25
832,rs7646242,4.8543687,0.5798
833,rs4817543,5.263158,0.6489
834,rs2088315,5.263158,0.6755
835,rs7566955,5.263158,0.6809
836,rs2049477,5.714286,0.7021
837,rs136867,6.329114,0.6915
838,rs10261386,6.711409,0.7340000000000001
839,rs137893140,10.526316,0.8138
840,chr15:90080605,1.34,0.9129999999999999
841,rs112328442,1.84,0.98
842,rs113052081,2.55,0.986
843,rs11466334,1.41,0.094
844,rs115175234,1.64,0.034
845,rs115351876,1.69,0.033
846,rs115585699,1.8,0.975
847,rs12231031,1.27,0.8320000000000001
848,rs12277475,1.28,0.21899999999999997
849,rs12885036,1.34,0.91
850,rs138768039,2.22,0.986
851,rs139481214,1.62,0.97
852,rs140120210,2.13,0.986
853,rs141311255,1.45,0.938
854,rs144050412,1.88,0.016
855,rs1468308,1.2,0.42200000000000004
856,rs17746147,1.59,0.961
857,rs2147479,1.19,0.66
858,rs3897727,1.22,0.252
859,rs4253735,1.65,0.023
860,rs56981400,1.59,0.9790000000000001
861,rs57261374,1.3,0.848
862,rs60227687,1.5,0.057999999999999996
863,rs6026382,1.7,0.9640000000000001
864,rs73284431,1.48,0.905
865,rs7364276,1.23,0.7879999999999999
866,rs73741124,2.11,0.9840000000000001
867,rs73838836,1.48,0.023
868,rs74073568,1.29,0.883
869,rs74927455,1.35,0.905
870,rs7534008,1.18,0.44
871,rs76859863,1.29,0.8320000000000001
872,rs7747641,1.56,0.9540000000000001
873,rs77741372,1.41,0.031
874,rs7903146,1.32,0.35600000000000004
875,rs80240198,1.54,0.958
876,rs80268399,1.71,0.9670000000000001
877,rs887400,1.65,0.9620000000000001
878,rs9847133,1.2,0.633
879,rs111558778,2.7777777,0.986
926,rs8050136,1.23,0.4
927,rs4402960,1.14,0.32
928,rs13266634,1.12,0.69
929,rs10946398,1.16,0.32
930,rs5015480,1.13,0.57
932,rs564398,1.13,0.56
935,rs10811661,1.19,0.83
936,rs2237892,1.45,0.61
937,rs2237897,1.33,0.34
938,rs4712524,1.22,0.42
939,rs6769511,1.23,0.32
942,rs7593730,1.11,0.78
943,rs2943641,1.19,0.63
944,rs4689388,1.16,0.57
945,rs12518099,1.16,0.23
946,rs4712523,1.2,0.32
947,rs7903146,1.48,0.27
948,rs13266634,1.16,0.68
949,rs5219,1.14,0.46
950,rs9300039,1.48,0.89
951,rs4402960,1.14,0.3
952,rs8050136,1.17,0.38
953,rs1801282,1.14,0.82
954,rs1111875,1.13,0.52
955,rs10811661,1.2,0.85
956,rs7754840,1.12,0.36
957,rs7903146,1.34,0.18
958,rs13266634,1.12,0.61
960,rs6723108,1.27,0.86
961,rs10461617,1.17,0.21
962,rs11165354,1.17,0.78
963,rs7903146,1.51,0.3
964,rs2383208,1.23,0.85
965,rs8050136,1.16,0.34
966,rs10906115,1.13,0.57
967,rs1359790,1.15,0.71
968,rs5015480,1.17,0.17
969,rs1436955,1.13,0.73
970,rs515071,1.18,0.794
971,rs7656416,1.15,0.675
972,rs1327796,1.13,0.235
973,rs10993738,1.16,0.152
974,rs1470579,1.19,0.34
975,rs6780569,1.17,0.83
976,rs6815464,1.1236,0.64
977,rs7754840,1.18,0.42
978,rs13266634,1.12,0.58
979,rs10811661,1.23,0.55
980,rs7903146,1.48,0.04
981,rs1111875,1.14,0.29
982,rs2237892,1.3,0.61
983,rs7172432,1.11,0.57
984,rs2028299,1.13,0.23
985,rs4430796,1.11,0.37
986,rs5945326,1.14,0.68
987,rs791595,1.17,0.08
988,rs11787792,1.15,0.8740000000000001
989,rs312457,1.2,0.078
995,rs7903146,1.38,0.3
996,rs13266634,1.15,0.67
997,rs7756992,1.2,0.26
998,rs1861612,1.29,0.64
999,rs8181588,1.3,0.48
1000,rs13266634,1.18,0.7
1001,rs1111875,1.19,0.6
1002,rs7903146,1.65,0.3
1003,rs16862964,2.59,0.262
1004,rs6595551,2.63,0.53
1005,rs9896052,1.67,0.294
1006,rs702634,1.05,0.82
1007,rs6947395,1.09,0.2
1008,rs74577409,1.14,0.08
1009,rs10507349,1.07,0.55
1010,rs3816157,1.08,0.68
1011,rs67148051,1.11,0.14
1012,rs6547692,1.07,0.44
1013,rs11390176,1.06,0.44
1014,rs34204798,1.07,0.56
1015,rs11651052,1.12,0.32
1016,rs746673,1.07,0.41
1017,rs1421085,1.13,0.2
1018,rs10795945,1.11,0.45
1019,rs79407053,1.11,0.69
1020,rs77402029,1.17,0.9
1021,rs12633613,1.1,0.67
1022,rs4929965,1.1235955,0.07999999999999996
1023,rs7660590,1.07,0.5
1024,rs1327315,1.1,0.73
1025,rs201597274,1.17,0.96
1026,rs77300780,1.08,0.54
1027,rs2844623,1.1,0.78
1028,rs3214606,1.11,0.2
1029,rs8037894,1.08,0.58
1030,rs10011838,1.08,0.46
1031,rs256903,1.08,0.47
1032,rs80196932,1.07,0.75
1034,rs12910361,1.06,0.41
1035,rs76550717,1.16,0.95
1036,rs12031188,1.08,0.8
1037,rs148316037,1.26,0.97
1038,rs10231021,1.06,0.64
1039,rs11073333,1.06,0.47
1040,rs2290203,1.06,0.47
1041,rs72156956,1.1,0.9
1042,rs3135911,1.06,0.44
1043,rs56337234,1.0752687,0.28
1044,rs115321690,1.06,0.6
1045,rs75536691,1.21,0.98
1046,rs34247110,1.06,0.37
1048,rs1825307,1.06,0.25
1049,rs6021276,1.06,0.43
1050,rs838720,1.05,0.45
1051,rs10938398,1.06,0.3
1052,rs7900112,1.05,0.51
1053,rs56805921,1.06,0.43
1054,rs1955163,1.05,0.51
1055,rs58432198,1.0989010000000001,0.91
1056,rs77792157,1.15,0.95
1057,rs2237897,1.3,0.62
1058,rs10965247,1.19,0.56
1059,rs10440833,1.19,0.42
1060,rs2233580,1.32,0.09
1061,rs1894299,1.13,0.68
1062,rs7901695,1.34,0.04
1063,rs13092876,1.14,0.34
1064,rs12219514,1.18,0.13
1065,rs791595,1.1235955,0.07999999999999996
1066,rs13266634,1.11,0.59
1067,rs9394574,1.09,0.82
1068,rs663129,1.08,0.22
1069,rs2327777,1.07,0.39
1070,rs3751237,1.07,0.69
1071,rs33981001,1.09,0.44
1072,rs28624681,1.14,0.88
1073,rs1575972,1.15,0.94
1074,rs2796441,1.08,0.38
1075,rs17168486,1.06,0.4
1076,rs117267808,1.12,0.08
1077,rs12454712,1.06,0.48
1079,rs2908279,1.07,0.6
1080,rs187150787,1.2,0.04
1081,rs7034200,1.06,0.41
1082,rs10886863,1.06,0.7
1083,rs12649012,1.07,0.21
1084,rs16988991,1.05,0.45
1085,rs144226500,1.05,0.3
1086,rs782100977,1.06,0.63
1087,rs123378,1.06,0.22
1088,rs16829174,1.05,0.59
1089,rs2134223,1.05,0.47
1090,rs2421897,1.08,0.88
1091,rs113547729,1.09,0.12
1092,rs16884025,1.14,0.93
1093,rs3963364,1.16,0.96
1094,rs11819995,1.06,0.22
1095,rs150626020,1.19,0.026000000000000002
1096,rs1182389,1.05,0.46
1097,rs11113776,1.05,0.46
1098,rs13417036,1.07,0.16
1099,rs35678078,1.06,0.5
1100,rs11410487,1.07,0.17
1101,rs3731600,1.13,0.95
1102,rs79310463,1.06,0.26
1103,rs7072204,1.05,0.43
1104,rs6633421,1.04,0.68
1105,rs9505085,1.05,0.67
1106,rs531347476,2.16,0.997
1107,rs11435035,1.07,0.34
1108,rs68062313,1.1,0.09
1109,rs9892728,1.05,0.47
1111,rs2800733,1.0752687,0.86
1112,rs377247337,1.33,0.99
1114,rs3887925,1.05,0.43
1115,rs10406327,1.0416667,0.53
1116,rs6459733,1.0526316,0.46
1118,rs12569857,1.05,0.3
1119,rs243024,1.05,0.68
1120,rs7985179,1.06,0.82
1121,rs10195252,1.0869565,0.92
1122,rs140751051,1.09,0.88
1124,rs11820019,1.2345678999999998,0.98
1125,rs665268,1.04,0.47
1126,rs17791513,1.0989010000000001,0.95
1127,rs11699802,1.0416667,0.54
1128,rs4709746,1.0638298000000002,0.87
1129,rs5219,1.04,0.37
1130,rs348330,1.0526316,0.7
1131,rs9967620,1.07,0.9
1136,rs1465146591,0.652,0.069
1137,rs9966620,1.95,0.0964
1138,rs11706588,1.89,0.1305
1141,rs1990145,2.02,0.268
1142,rs4771506,1.97,0.263
1143,rs918519,2.86,0.769
1144,rs1158314,2.16,0.4
1164,rs7903146,1.53,0.61
1165,chr6:163319442,3.81,0.91
1166,rs1449245,1.96,0.79
1178,rs10886471,1.12,0.778
1179,rs7403531,1.1,0.34600000000000003
1180,rs10814916,1.11,0.439
1181,rs2383208,1.22,0.5579999999999999
1182,rs11257655,1.15,0.564
1183,rs4430796,1.19,0.276
1184,rs12010175,1.21,0.7859999999999999
1185,rs5945326,1.18,0.606
1186,rs7754840,1.35,0.41100000000000003
1187,rs2237892,1.32,0.657
1192,rs9362054,1.4,0.29100000000000004
1195,rs17428041,1.49,0.7092
1196,rs11615866,2.26,0.12
1197,rs7172432,1.11,0.58
1198,rs35260355,1.66,0.16
1199,rs71647933,2.31,0.16
1200,rs6986153,1.67,0.19
1201,rs11717195,1.24,0.75
1202,rs7903146,1.36,0.25
1203,rs163184,1.24,0.41
1204,rs10830963,1.28,0.2
1205,rs7403531,1.21,0.33
1206,rs2283228,1.5,0.79
1520,rs62069176,1.5873016000000002,0.7
1521,rs2581685,1.46,0.78
1522,rs6557473,1.36,0.3
1523,rs3184504,1.3109596000000001,0.49
1524,rs4244808,1.28,0.46
1525,rs7202844,1.411,0.087
1526,rs11171739,1.225,0.43
1527,rs3087243,1.2083131999999999,0.55
1528,rs741172,1.2268434,0.69
1529,rs2542148,1.27,0.166
1530,rs984971,1.201057,0.64
1531,rs9981624,1.1840000000000002,0.33399999999999996
1532,rs12416116,1.1927481000000002,0.3
1533,rs34593439,1.3066771000000001,0.15
1534,rs72928038,1.217,0.177
1535,rs35667974,1.9022256000000002,0.978
1536,rs4336042,1.168,0.389
1537,rs151234,1.235,0.129
1538,rs3118470,1.175,0.32
1539,rs3024493,1.2244399,0.84
1540,rs74956615,1.3984058000000001,0.943
1541,rs1893592,1.1625204,0.7
1542,rs2045258,1.146,0.449
1543,rs72776098,1.6363933000000002,0.975
1544,rs7780389,1.4112334999999998,0.9520000000000001
1545,rs229533,1.1420000000000001,0.433
